Customer ID,total_purchase,purchase_frequency,unique_categories,avg_age,churn,cluster
1,6290,3,3,67.0,0,3
2,16481,6,4,42.0,0,0
3,9423,4,3,31.0,0,0
4,7826,5,4,37.0,0,0
5,9769,5,2,24.0,0,3
6,25428,9,4,34.0,0,1
7,17825,8,4,22.0,1,2
8,16245,7,4,66.0,0,1
9,24621,7,4,39.0,0,1
10,20672,8,2,49.0,0,1
11,17730,8,4,67.0,1,2
12,16756,7,4,31.0,0,1
13,13798,5,3,60.0,0,0
14,14119,5,3,42.0,0,0
15,16533,5,4,38.0,1,2
16,7196,3,2,67.0,0,3
17,22968,8,4,32.0,0,1
18,4859,2,2,52.0,0,3
19,12232,5,3,37.0,0,0
20,17443,4,3,42.0,0,0
21,10598,5,3,20.0,1,2
22,14137,5,3,40.0,0,0
23,18733,7,3,33.0,0,0
24,11413,4,4,69.0,0,0
25,9876,3,3,18.0,0,0
26,9845,3,3,50.0,0,0
27,12554,4,3,45.0,1,2
28,16765,4,2,56.0,0,0
29,13240,5,3,54.0,0,0
30,8047,4,3,33.0,1,2
31,16430,6,3,50.0,0,0
32,11953,5,3,39.0,0,0
33,24987,7,3,41.0,1,2
34,658,1,1,57.0,1,3
35,24174,8,2,65.0,0,1
36,11107,4,3,38.0,0,0
37,15557,8,4,52.0,0,1
38,11437,4,3,44.0,0,0
39,20951,7,4,36.0,0,1
40,16453,6,3,32.0,0,0
41,25741,7,3,70.0,0,1
42,18931,6,4,22.0,0,0
43,17364,5,2,60.0,0,0
44,11927,4,3,28.0,0,0
45,23309,7,3,70.0,1,2
46,22536,8,4,37.0,0,1
47,18507,8,4,18.0,0,1
48,11983,3,2,36.0,1,2
49,6868,2,1,63.0,0,3
50,11595,4,3,38.0,0,0
51,29769,11,4,18.0,0,1
52,18753,8,4,58.0,0,1
53,8902,4,2,23.0,0,3
54,15001,5,4,28.0,0,0
55,15117,5,3,35.0,0,0
56,11599,4,4,51.0,0,0
57,17134,5,3,31.0,0,0
58,6959,4,3,59.0,0,0
59,26988,7,3,39.0,1,2
60,19803,8,4,24.0,0,1
61,6388,4,2,33.0,1,2
62,11855,3,1,19.0,0,3
63,23109,6,4,23.0,1,2
64,6620,3,2,38.0,0,3
65,12404,6,3,32.0,1,2
66,18045,6,2,53.0,0,0
67,5269,2,2,62.0,0,3
68,10642,3,2,48.0,1,2
69,8622,3,3,22.0,0,0
70,24074,9,4,38.0,1,1
71,2540,2,2,43.0,1,2
72,17152,7,4,25.0,0,1
73,5460,2,2,68.0,0,3
74,9391,5,2,59.0,0,3
75,7176,3,1,65.0,0,3
76,8123,2,1,40.0,0,3
77,4495,2,2,58.0,0,3
78,10920,4,1,51.0,1,2
79,7066,3,2,43.0,0,3
80,22648,10,4,34.0,0,1
81,12760,5,2,42.0,0,0
82,6949,4,3,21.0,0,0
83,16211,8,4,24.0,0,1
84,2557,3,2,49.0,0,3
85,16901,7,4,27.0,0,1
86,12123,6,4,21.0,0,0
87,5436,2,2,46.0,0,3
88,11135,5,3,33.0,0,0
89,18361,7,4,24.0,1,2
90,14780,6,3,27.0,1,2
91,14816,6,3,54.0,0,0
92,11784,3,2,58.0,0,3
93,10025,3,3,51.0,0,0
94,15378,6,4,38.0,0,0
95,9736,4,2,63.0,0,3
96,22981,7,4,25.0,0,1
97,6636,3,2,33.0,1,2
98,20950,6,4,55.0,1,2
99,11211,4,2,34.0,0,3
100,19950,8,4,20.0,0,1
101,27360,8,4,58.0,0,1
102,1259,1,1,18.0,0,3
103,24077,7,4,59.0,0,1
104,13848,4,3,31.0,0,0
105,7530,4,2,30.0,1,2
106,8311,3,3,24.0,0,0
107,8393,4,2,44.0,0,3
108,31386,11,4,53.0,0,1
109,18510,5,3,60.0,0,0
110,3558,3,2,42.0,0,3
111,9692,5,2,57.0,1,2
112,4378,2,2,67.0,0,3
113,7328,4,3,39.0,0,0
114,11568,5,4,27.0,0,0
115,13470,7,4,21.0,0,0
116,11725,4,4,55.0,0,0
117,22130,6,3,49.0,0,1
118,17754,6,3,65.0,0,0
119,18014,6,3,49.0,0,0
120,10470,5,3,29.0,0,0
121,13615,5,3,28.0,0,0
122,18104,5,4,18.0,0,0
123,12829,3,2,64.0,0,3
124,2308,2,2,44.0,0,3
125,17497,6,3,46.0,0,0
126,12680,3,3,40.0,0,0
127,3872,1,1,62.0,0,3
128,3931,2,1,67.0,0,3
129,14527,6,4,60.0,1,2
130,15849,4,3,37.0,0,0
131,6668,4,3,63.0,1,2
132,10091,3,2,22.0,0,3
133,25725,8,3,61.0,1,2
134,12344,4,3,69.0,0,0
135,13476,6,2,35.0,0,0
136,22890,8,4,25.0,0,1
137,24134,8,4,66.0,0,1
138,2907,2,1,19.0,0,3
139,15036,7,2,21.0,1,2
140,8230,3,2,55.0,0,3
141,26395,9,3,41.0,0,1
142,4184,2,2,43.0,0,3
143,22505,8,3,50.0,0,1
144,17553,6,4,40.0,0,0
145,26432,10,4,48.0,0,1
146,9457,2,2,23.0,1,2
147,14477,7,3,49.0,0,0
148,6506,2,2,24.0,0,3
149,17913,6,4,40.0,0,0
150,1743,1,1,68.0,0,3
151,10760,8,4,49.0,0,0
152,14097,4,1,47.0,1,2
153,18398,7,3,53.0,0,1
154,31167,11,3,56.0,0,1
155,17420,6,3,70.0,0,0
156,16715,5,2,60.0,0,0
157,23819,8,3,31.0,0,1
158,7295,4,3,70.0,0,0
159,4391,3,2,35.0,0,3
160,8840,2,1,41.0,0,3
161,18246,5,3,69.0,0,0
162,13299,4,3,55.0,0,0
163,9704,4,2,21.0,0,3
164,7890,4,2,69.0,0,3
165,14544,6,4,26.0,0,0
166,29342,9,4,28.0,0,1
167,8508,4,3,57.0,0,0
169,15868,8,4,21.0,0,1
170,24385,8,3,40.0,0,1
171,4206,1,1,61.0,1,3
172,10493,6,4,41.0,1,2
173,15597,5,3,66.0,1,2
174,3347,2,1,39.0,0,3
175,10189,4,3,31.0,0,0
176,13361,7,3,30.0,1,2
177,12377,4,3,27.0,0,0
178,21604,9,3,35.0,0,1
179,20456,5,4,29.0,0,0
180,473,1,1,55.0,1,3
181,7779,3,2,60.0,0,3
182,17243,7,3,51.0,0,0
183,5468,3,2,23.0,0,3
184,26985,9,4,43.0,0,1
185,24331,9,4,19.0,0,1
186,9097,3,2,32.0,1,2
187,2670,1,1,39.0,0,3
188,7701,4,3,32.0,1,2
189,6569,2,2,69.0,0,3
190,4361,1,1,47.0,0,3
191,4200,2,1,32.0,1,3
192,28832,8,4,70.0,1,1
193,12514,5,2,26.0,0,0
194,10066,6,4,63.0,0,0
195,18840,6,3,59.0,1,2
196,13926,5,3,18.0,0,0
197,10354,4,3,19.0,0,0
198,17553,7,3,55.0,0,0
199,14136,6,3,24.0,1,2
200,20775,8,4,56.0,1,2
201,3149,2,2,38.0,0,3
202,15209,6,3,49.0,0,0
203,6566,3,2,36.0,0,3
204,29420,12,4,56.0,0,1
205,23103,11,3,60.0,0,1
206,18103,6,2,25.0,0,0
207,21171,8,4,46.0,0,1
208,21596,8,3,38.0,1,2
209,17402,7,4,66.0,0,1
210,19595,7,3,37.0,0,1
211,20362,10,4,19.0,0,1
212,15762,6,3,50.0,0,0
213,10744,6,3,64.0,0,0
214,11660,3,3,42.0,0,0
215,11725,4,3,64.0,0,0
216,26535,8,4,47.0,0,1
217,8551,5,3,25.0,1,2
218,21620,8,3,45.0,0,1
219,13360,6,4,52.0,0,0
220,7400,4,3,68.0,1,2
221,21964,6,2,18.0,1,2
222,10799,4,4,31.0,0,0
223,10202,4,3,67.0,0,0
224,16799,6,4,65.0,1,2
225,7280,3,2,50.0,0,3
226,12910,5,4,56.0,0,0
227,9489,4,2,23.0,0,3
228,7175,4,3,60.0,0,0
229,18119,6,4,26.0,0,0
230,29553,10,4,31.0,0,1
231,15841,6,3,35.0,0,0
232,23483,6,3,47.0,0,1
233,15177,5,3,51.0,0,0
234,7910,4,3,48.0,0,0
235,14572,4,2,53.0,1,2
236,22060,10,4,27.0,0,1
237,17112,7,3,54.0,0,0
238,25783,8,4,52.0,0,1
239,20511,7,4,57.0,0,1
240,7011,4,2,29.0,0,3
241,3491,3,2,41.0,0,3
242,5090,3,2,57.0,1,2
243,19370,7,4,47.0,0,1
244,15342,7,2,51.0,0,0
245,7939,3,2,47.0,1,2
246,11308,3,1,57.0,0,3
247,8715,5,4,20.0,0,0
248,24306,6,4,51.0,0,1
249,2240,1,1,62.0,0,3
250,22091,7,3,43.0,1,2
251,24661,8,4,68.0,0,1
252,10043,5,4,28.0,0,0
253,23104,8,3,23.0,0,1
254,12119,4,2,64.0,0,3
255,12999,5,3,61.0,0,0
256,7389,3,2,57.0,1,2
257,12211,4,2,49.0,1,2
258,17437,6,3,32.0,0,0
259,17652,4,2,70.0,0,0
260,12523,6,4,41.0,0,0
261,20949,8,3,49.0,1,2
262,22365,8,3,70.0,0,1
263,20142,8,4,38.0,1,2
264,33074,10,4,69.0,0,1
265,18780,5,3,53.0,0,0
266,10856,7,4,31.0,0,0
267,16595,5,3,64.0,1,2
268,5628,3,2,57.0,0,3
269,21577,7,4,57.0,0,1
270,17030,6,3,68.0,1,2
271,19721,5,3,54.0,1,2
272,8898,3,2,26.0,0,3
273,16602,6,3,68.0,0,0
274,17449,6,2,26.0,0,0
275,5288,3,2,70.0,0,3
276,9196,5,4,28.0,0,0
277,15709,7,3,28.0,0,0
278,31691,10,4,18.0,0,1
279,5772,4,2,34.0,0,3
280,6532,5,4,40.0,0,0
281,6795,2,2,61.0,0,3
282,26379,8,4,62.0,0,1
283,21425,6,3,38.0,0,0
284,7773,3,2,68.0,0,3
285,28106,9,4,35.0,0,1
286,7637,2,2,70.0,0,3
287,2295,1,1,40.0,1,3
288,16691,5,3,33.0,0,0
289,14827,6,3,29.0,1,2
290,10409,4,2,36.0,0,3
291,12458,4,2,32.0,0,3
292,5470,4,2,50.0,0,3
293,13042,5,3,51.0,0,0
294,10651,3,2,20.0,0,3
295,2904,2,2,50.0,0,3
296,16269,6,3,37.0,1,2
297,27103,11,4,57.0,0,1
298,10434,5,2,39.0,0,3
299,17284,5,4,44.0,0,0
300,11344,6,4,25.0,0,0
301,9117,3,2,35.0,1,2
302,19850,7,3,66.0,0,1
303,14014,4,3,26.0,1,2
304,16462,7,3,49.0,1,2
305,12211,5,3,34.0,1,2
306,11545,4,2,37.0,0,3
307,4972,1,1,30.0,1,3
308,9405,3,3,69.0,0,0
309,7314,3,3,68.0,1,2
310,13092,3,2,37.0,0,3
311,15544,7,4,37.0,0,1
312,6864,3,2,68.0,1,2
313,27974,9,4,40.0,0,1
314,9955,4,3,31.0,0,0
315,32676,11,4,26.0,0,1
316,2748,3,3,24.0,0,3
317,14315,3,3,31.0,0,0
318,25467,9,4,55.0,0,1
319,16758,5,4,29.0,0,0
320,12356,5,3,61.0,0,0
321,8310,4,3,52.0,1,2
322,16585,5,3,68.0,0,0
323,7726,3,2,63.0,0,3
324,13370,5,3,21.0,0,0
325,23078,8,4,64.0,0,1
326,13314,5,3,18.0,1,2
327,18548,6,3,52.0,0,0
328,9666,6,4,65.0,0,0
329,28031,8,4,25.0,0,1
330,26298,9,3,28.0,0,1
331,14475,5,4,26.0,0,0
332,16503,6,4,48.0,0,0
333,11409,4,4,18.0,0,0
334,9034,5,3,38.0,0,0
335,20173,6,3,58.0,1,2
336,5454,2,2,32.0,0,3
337,11645,4,3,32.0,0,0
338,8926,4,1,25.0,1,2
339,16131,5,3,19.0,0,0
340,33669,10,4,39.0,0,1
341,7945,5,3,65.0,0,0
342,28585,10,4,32.0,0,1
343,11403,5,2,65.0,1,2
344,17832,7,4,37.0,0,1
345,13967,7,3,33.0,0,0
346,14283,5,4,18.0,0,0
347,17563,6,3,65.0,1,2
348,25727,9,4,67.0,0,1
349,13096,4,3,30.0,1,2
350,16661,5,4,49.0,0,0
351,17230,8,4,26.0,0,1
352,6959,3,2,35.0,0,3
353,19498,7,3,33.0,1,2
354,16174,4,4,59.0,0,0
355,7767,3,2,41.0,0,3
356,11498,4,2,35.0,0,3
357,22995,6,2,36.0,0,0
358,13566,4,2,61.0,0,3
359,16589,5,4,29.0,0,0
360,10562,5,3,35.0,0,0
361,6893,3,3,28.0,1,2
362,4964,1,1,20.0,0,3
